id,actual,predicted
0,0,-12
1,0,-12
2,0,-12
3,0,-11
4,0,-11
5,0,-11
6,0,-11
7,0,-11
8,0,-11
9,0,-11
10,0,-11
11,0,-11
12,0,-29
13,0,-28
14,0,-28
15,0,-28
16,0,-26
17,0,-25
18,0,-33
19,0,-30
20,0,-28
21,0,-25
22,0,-23
23,0,-19
24,0,-15
25,0,-23
26,0,-29
27,0,-34
28,0,-36
29,0,-36
30,0,-11
31,0,-18
32,0,-24
33,0,-28
34,0,-33
35,0,-35
36,0,-35
37,0,-36
38,0,-36
39,0,-36
40,0,-35
41,0,-32
42,0,-30
43,0,-30
44,0,-29
45,0,-28
46,0,-28
47,0,-28
48,0,-26
49,0,-21
50,0,-15
51,0,-9
52,0,-1
53,0,7
54,0,17
55,0,17
56,0,17
57,0,22
58,0,22
59,0,22
60,0,22
61,0,12
62,0,3
63,0,-5
64,0,3
65,7,-2
66,22,-7
67,48,12
68,81,10
69,123,28
70,180,58
71,249,58
72,311,77
73,374,175
74,441,275
75,507,386
76,576,487
77,651,592
78,745,701
79,861,868
80,1001,1039
81,1161,1216
82,1356,1401
83,1582,1578
84,1835,1782
85,2122,2050
86,2436,2303
87,2762,2569
88,3126,2855
89,3502,3139
90,3880,3426
91,4272,3764
92,4663,4107
93,5061,4457
94,5448,4785
95,5850,5147
96,6256,5513
97,6655,5894
98,7046,6264
99,7470,6582
100,7848,6968
101,8237,7345
102,8620,7734
103,9030,8075
104,9426,8418
105,9791,8762
106,10146,9070
107,10498,9416
108,10839,9761
109,11187,10044
110,11515,10314
111,11830,10585
112,12185,10810
113,12531,11091
114,12845,11361
115,13107,11522
116,13396,11684
117,13649,11772
118,13930,11922
119,14153,12084
120,14484,12244
121,14712,12294
122,14940,12369
123,15152,12418
124,15327,12455
125,15556,12528
126,15722,14774
127,15990,14980
128,16144,15197
129,16314,15410
130,16566,15527
131,16761,15726
132,16923,15939
133,17097,16104
134,17256,16266
135,17652,16416
136,17660,16585
137,17810,16744
138,17981,16904
139,18025,17029
140,18247,17140
141,18429,17262
142,18530,17385
143,18777,17494
144,18942,17615
145,18874,17550
146,17468,17455
147,12103,17384
148,19576,17292
149,19433,17168
150,19198,18044
151,19377,18054
152,19817,18055
153,19643,18047
154,18930,18042
155,19762,18016
156,19968,17981
157,19957,17860
158,17782,17750
159,20154,17639
160,10810,17516
161,19372,17390
162,20130,15229
163,19498,14661
164,19747,14075
165,16064,13524
166,19777,12969
167,11694,12404
168,19969,8971
169,13278,8771
170,4210,8573
171,10174,8351
172,18995,8152
173,4877,7954
174,2927,13675
175,3593,13170
176,7451,12681
177,19026,12173
178,19546,11683
179,7499,11212
180,16697,5134
181,3378,5254
182,17268,5369
183,17231,5487
184,15294,5608
185,16793,5729
186,4912,2829
187,10240,2849
188,9890,2866
189,4614,2903
190,7887,2924
191,4388,2942
192,3389,5162
193,5709,5266
194,3300,5371
195,3675,5476
196,5067,5571
197,4662,5677
198,3964,4830
199,3303,4904
200,4033,4952
201,7023,5036
202,10557,5111
203,7569,5160
204,10237,5235
205,3991,5124
206,5587,5000
207,3002,4890
208,7199,4785
209,5374,4659
210,3763,4549
211,2544,4220
212,3132,3891
213,2723,3568
214,2225,3252
215,2801,2942
216,2470,2634
217,2119,2604
218,1466,2575
219,1489,2544
220,1270,2505
221,1171,2476
222,1266,2448
223,1561,2353
224,1652,2239
225,1146,2146
226,1156,2059
227,885,1945
228,690,1852
229,721,1727
230,728,1582
231,539,1445
232,436,1322
233,453,1189
234,300,1059
235,197,898
236,192,749
237,139,604
238,84,452
239,49,311
240,30,233
241,14,199
242,6,172
243,1,134
244,0,103
245,0,78
246,0,59
247,0,63
248,0,49
249,0,59
250,0,63
251,0,49
252,0,-33
253,0,-27
254,0,-20
255,0,-11
256,0,2
257,0,18
258,0,33
259,0,33
260,0,37
261,0,37
262,0,40
263,0,45
264,0,-36
265,0,-36
266,0,-36
267,0,-35
268,0,-35
269,0,-34
270,0,15
271,0,3
272,0,-7
273,0,-16
274,0,-23
275,0,-29
276,0,29
277,0,18
278,0,12
279,0,3
280,0,-5
281,0,-10
282,0,-16
283,0,-14
284,0,-14
285,0,-12
286,0,-4
287,0,-4
