id,actual,predicted
0,0,-9
1,0,-9
2,0,-9
3,0,-9
4,0,-14
5,0,-14
6,0,-32
7,0,-32
8,0,-30
9,0,-27
10,0,-21
11,0,-16
12,0,40
13,0,44
14,0,49
15,0,49
16,0,53
17,0,58
18,0,-32
19,0,-32
20,0,-32
21,0,-33
22,0,-33
23,0,-33
24,0,-33
25,0,-33
26,0,-33
27,0,-33
28,0,-33
29,0,-33
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,29
37,0,33
38,0,37
39,0,41
40,0,48
41,0,52
42,0,66
43,0,66
44,0,71
45,0,71
46,0,71
47,0,76
48,0,57
49,0,61
50,0,61
51,0,66
52,0,71
53,0,71
54,0,76
55,0,71
56,0,61
57,0,52
58,0,48
59,0,44
60,0,35
61,0,44
62,0,48
63,0,61
64,0,70
65,8,75
66,26,85
67,52,84
68,89,83
69,155,102
70,233,116
71,322,123
72,400,129
73,549,228
74,673,329
75,804,431
76,1038,525
77,1224,633
78,1455,740
79,1652,938
80,1842,1143
81,1814,1378
82,1848,1591
83,1882,1818
84,2013,2052
85,2284,2371
86,2604,2723
87,2942,3076
88,3289,3415
89,3655,3785
90,4023,4165
91,4406,4490
92,4792,4828
93,5182,5158
94,5571,5491
95,6009,5837
96,6411,6174
97,6791,6525
98,7220,6875
99,7636,7226
100,8011,7582
101,8416,7938
102,8823,8294
103,9196,8636
104,9561,8980
105,9887,9323
106,10313,9629
107,10616,9973
108,10961,10316
109,11332,10633
110,11667,10950
111,11972,11235
112,12311,11560
113,12628,11862
114,12927,12189
115,13229,12477
116,13482,12764
117,13801,13063
118,14049,13306
119,14278,13577
120,14531,13872
121,14757,14132
122,14998,14377
123,15281,14633
124,15490,14890
125,15809,15131
126,15781,15383
127,16546,15589
128,17576,15792
129,15224,15950
130,5685,16152
131,7487,16340
132,4607,16551
133,13135,16718
134,8812,16882
135,4569,17045
136,5281,17210
137,20149,17374
138,12816,17535
139,5028,17664
140,3431,17759
141,10175,17877
142,20149,17924
143,17787,18028
144,16919,16187
145,19239,16466
146,19935,16742
147,19579,17036
148,19458,17303
149,19558,17564
150,18565,16895
151,19577,17078
152,19420,17247
153,3780,17416
154,19814,17591
155,19637,17763
156,6595,17347
157,20082,17438
158,20203,17523
159,20178,17525
160,19443,17613
161,19268,17698
162,19336,18576
163,19173,18459
164,19186,18367
165,18796,18256
166,18757,18148
167,18658,18043
168,18690,18245
169,18572,18141
170,18314,18057
171,18128,17963
172,18255,17857
173,18396,17761
174,17719,17666
175,17531,17529
176,17306,17377
177,17111,17228
178,17109,17089
179,15818,16946
180,16612,16795
181,16383,16622
182,16092,16425
183,16025,16250
184,15781,16074
185,15438,15874
186,14932,15549
187,5091,15148
188,14307,14746
189,14581,14331
190,14090,13912
191,13726,13492
192,13633,13373
193,7258,13113
194,12841,12853
195,12369,12616
196,12187,12354
197,9621,12093
198,11557,12501
199,10576,12098
200,10532,11703
201,10548,11292
202,10376,10894
203,9909,10496
204,9508,10086
205,9191,9772
206,8805,9457
207,4151,9155
208,7644,8842
209,7160,8529
210,6752,8145
211,6396,7834
212,6187,7524
213,2312,7204
214,1382,6884
215,1052,6578
216,1076,6115
217,2624,5790
218,1094,5467
219,3352,5145
220,1971,4826
221,2478,4509
222,2162,4298
223,1777,4008
224,1750,3711
225,1104,3441
226,1184,3172
227,1139,2883
228,937,2667
229,692,2408
230,648,2136
231,596,1884
232,538,1650
233,441,1414
234,425,1199
235,374,1049
236,353,913
237,278,760
238,206,620
239,133,504
240,80,346
241,52,295
242,29,245
243,8,193
244,1,143
245,0,93
246,0,43
247,0,21
248,0,18
249,0,17
250,0,-7
251,0,-26
252,0,-26
253,0,-26
254,0,-25
255,0,-25
256,0,-23
257,0,-21
258,0,-20
259,0,-20
260,0,-20
261,0,-21
262,0,-21
263,0,-21
264,0,-21
265,0,-22
266,0,-23
267,0,-28
268,0,-29
269,0,-29
270,0,-29
271,0,-29
272,0,-29
273,0,-29
274,0,-30
275,0,-30
276,0,-30
277,0,-30
278,0,-30
279,0,-30
280,0,-30
281,0,-30
282,0,-30
283,0,-30
284,0,-30
285,0,-30
286,0,-30
287,0,-30
