id,actual,predicted
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,2,0
71,7,0
72,24,0
73,53,22
74,89,45
75,93,67
76,85,90
77,109,113
78,131,136
79,168,181
80,187,250
81,165,319
82,231,365
83,307,411
84,245,480
85,197,550
86,206,641
87,173,718
88,181,789
89,219,873
90,261,951
91,47,1046
92,49,1141
93,121,1251
94,209,1365
95,328,1461
96,410,1558
97,524,1665
98,589,1776
99,589,1870
100,718,1978
101,936,2101
102,1044,2199
103,1157,2298
104,1411,2411
105,1706,2511
106,1371,2621
107,1537,2735
108,1306,2835
109,1293,2946
110,1285,3045
111,1214,3155
112,1413,3281
113,1642,3391
114,1741,3493
115,1997,3594
116,1633,3696
117,1976,3815
118,1889,3928
119,1875,4030
120,1958,4133
121,2106,4236
122,2255,4339
123,2400,4431
124,1938,4517
125,1918,4620
126,2470,4724
127,2577,4812
128,1615,4903
129,1956,4981
130,1818,5079
131,3191,5182
132,2447,5259
133,2142,5338
134,2953,5416
135,3173,5490
136,3173,5569
137,3256,5647
138,3091,5725
139,2572,5788
140,2832,5855
141,2026,5917
142,1127,5973
143,1186,6052
144,3458,6104
145,4151,6156
146,4520,6208
147,4991,6276
148,5494,6339
149,6999,6391
150,7583,1844
151,6795,1770
152,5485,1697
153,5546,1625
154,5239,1551
155,3672,1478
156,4067,2948
157,3774,2973
158,3842,3024
159,3732,3047
160,3468,3073
161,3625,3123
162,4172,3149
163,4324,3073
164,4440,2998
165,4853,2922
166,4347,2846
167,5426,2772
168,6832,2697
169,8333,2831
170,8249,2971
171,7373,3113
172,6036,3249
173,2925,3384
174,4905,2971
175,4342,2920
176,5419,2895
177,5618,2845
178,4983,2794
179,4296,2769
180,4156,2718
181,3968,2693
182,3749,2668
183,3351,2643
184,3142,2618
185,2869,2593
186,2746,2568
187,2728,2467
188,2393,2369
189,2753,2257
190,2342,2158
191,1669,2060
192,985,1961
193,429,1887
194,1509,1814
195,1082,1716
196,1383,1642
197,1320,1570
198,1416,1497
199,1413,1521
200,1217,1544
201,1144,1568
202,993,1580
203,1241,1604
204,1319,1627
205,1284,1651
206,1878,1672
207,1836,1710
208,1684,1743
209,1314,1764
210,1000,1787
211,899,1737
212,1571,1662
213,2046,1612
214,2007,1564
215,1794,1490
216,1374,1440
217,1613,1368
218,1544,1271
219,1547,1197
220,1258,1126
221,1214,1029
222,1260,958
223,1037,888
224,955,793
225,743,713
226,599,641
227,439,547
228,336,478
229,257,411
230,188,366
231,130,313
232,90,244
233,49,188
234,17,135
235,2,112
236,0,89
237,0,67
238,0,44
239,0,22
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
