id,actual,predicted
0,0,5
1,0,5
2,0,5
3,0,5
4,0,5
5,0,5
6,0,5
7,0,5
8,0,5
9,0,5
10,0,5
11,0,5
12,0,5
13,0,5
14,0,5
15,0,5
16,0,9
17,0,9
18,0,9
19,0,9
20,0,9
21,0,9
22,0,8
23,0,8
24,0,8
25,0,8
26,0,8
27,0,14
28,0,14
29,0,14
30,0,14
31,0,14
32,0,14
33,0,14
34,0,14
35,0,14
36,0,14
37,0,14
38,0,14
39,0,14
40,0,14
41,0,14
42,0,14
43,0,14
44,0,14
45,0,14
46,0,14
47,0,14
48,0,14
49,0,14
50,0,14
51,0,12
52,0,12
53,0,12
54,0,12
55,0,12
56,0,12
57,0,12
58,0,12
59,0,12
60,0,12
61,0,12
62,0,12
63,0,12
64,0,18
65,3,18
66,12,18
67,37,18
68,68,18
69,112,18
70,160,37
71,217,37
72,305,37
73,439,171
74,525,315
75,528,465
76,563,608
77,639,752
78,713,911
79,784,1119
80,884,1349
81,1016,1569
82,1136,1802
83,1268,2044
84,1362,2304
85,1479,2591
86,1595,2882
87,1550,3177
88,1451,3475
89,1545,3777
90,1830,4083
91,1923,4412
92,2194,4769
93,2312,5100
94,2828,5439
95,3239,5779
96,3283,6148
97,3270,6517
98,4052,6910
99,4123,7305
100,5074,7644
101,6533,8019
102,7010,8418
103,6100,8791
104,6664,9150
105,5932,9507
106,10064,9893
107,11741,10252
108,12086,10624
109,12105,10943
110,13150,11263
111,12331,11538
112,16493,11854
113,8783,12172
114,9249,12488
115,6532,12665
116,6304,12817
117,6153,12994
118,5494,13126
119,5178,13277
120,5062,13452
121,4912,13415
122,5289,13370
123,5836,13312
124,6241,13277
125,6021,13224
126,6225,13171
127,6755,12958
128,7205,12728
129,7268,12500
130,7258,12284
131,7339,12067
132,7897,11839
133,7398,11571
134,4755,11281
135,18800,11003
136,19655,10740
137,9840,10466
138,14601,10198
139,5962,9994
140,5465,9783
141,4608,9585
142,4889,9395
143,15206,9191
144,6883,8983
145,8129,8948
146,8750,8937
147,7281,8923
148,6644,8887
149,7784,8853
150,8930,8842
151,8141,8969
152,8382,9089
153,7498,9209
154,9215,9333
155,16049,9460
156,9958,9580
157,10331,9789
158,12528,9987
159,20166,10187
160,17634,10397
161,20212,10594
162,20186,10804
163,20069,11014
164,5744,11216
165,9308,11427
166,13341,11607
167,11263,11810
168,19676,12022
169,7482,12168
170,7438,12326
171,11184,12474
172,15324,12611
173,7765,12771
174,9614,12919
175,12860,12974
176,19437,13028
177,19433,13083
178,18161,13148
179,15207,13200
180,10494,13254
181,18228,13223
182,17282,13191
183,5096,13158
184,16016,13124
185,8867,13088
186,11713,13052
187,3628,12906
188,12647,12782
189,17142,12649
190,9145,12502
191,8618,12377
192,15273,12228
193,8249,12020
194,11520,11785
195,12553,11546
196,8735,11337
197,12536,11127
198,11921,10890
199,11535,10618
200,11040,10331
201,10733,9997
202,10458,9725
203,9929,9453
204,9513,9168
205,8981,8871
206,8589,8588
207,8200,8279
208,7657,7984
209,6989,7702
210,6920,7409
211,6486,7129
212,5996,6824
213,5622,6544
214,5207,6267
215,4772,5978
216,4266,5691
217,3924,5402
218,3522,5126
219,3150,4854
220,2763,4604
221,2424,4319
222,2082,4050
223,1779,3772
224,1490,3507
225,1257,3260
226,1074,2985
227,895,2727
228,754,2458
229,654,2221
230,584,1981
231,525,1744
232,463,1543
233,407,1320
234,347,1112
235,289,948
236,231,772
237,175,617
238,128,479
239,85,328
240,49,179
241,23,145
242,6,112
243,0,97
244,0,63
245,0,20
246,0,-2
247,0,-2
248,0,-2
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,1
257,0,1
258,0,1
259,0,1
260,0,1
261,0,1
262,0,1
263,0,1
264,0,1
265,0,1
266,0,1
267,0,5
268,0,5
269,0,5
270,0,5
271,0,5
272,0,5
273,0,5
274,0,5
275,0,5
276,0,5
277,0,5
278,0,5
279,0,5
280,0,9
281,0,9
282,0,9
283,0,9
284,0,9
285,0,9
286,0,9
287,0,9
