ghi,ebh,dni,dhi,air_temp,cloud_opacity
501,74,88,427,27,39
499,74,89,425,27,39
498,75,90,423,27,39
496,76,92,420,27,38
494,76,93,418,27,38
493,76,94,416,27,38
657,322,399,335,27,17
628,283,352,344,27,20
598,244,305,354,27,23
569,206,258,364,27,26
540,167,210,373,27,30
510,128,163,382,27,33
481,89,116,392,27,36
485,101,134,384,27,35
490,113,153,377,27,33
494,126,171,369,27,32
498,138,189,361,27,31
503,150,208,354,27,29
507,162,226,346,27,28
485,143,201,342,27,30
462,125,175,338,27,33
440,106,150,334,27,35
418,87,125,331,27,37
395,69,99,327,27,40
621,471,704,150,27,3
606,452,684,154,27,4
591,432,663,158,27,5
576,413,642,162,27,6
560,394,622,167,27,6
545,374,602,171,27,7
449,210,338,239,27,22
424,183,296,241,27,25
398,155,253,243,27,28
372,128,211,244,27,32
347,101,169,246,27,35
322,73,126,248,27,38
296,46,84,250,27,41
278,40,74,237,27,44
259,35,65,224,27,46
240,30,55,211,27,48
222,24,45,198,27,51
204,18,36,185,27,54
185,13,26,172,27,56
173,11,23,161,27,58
160,10,20,151,27,59
148,8,17,140,27,61
136,6,14,129,27,63
123,5,11,119,27,64
111,3,8,108,27,66
109,3,9,106,27,65
106,3,10,103,27,64
104,4,11,100,27,64
102,4,12,98,27,63
99,4,13,96,27,62
225,123,403,103,27,9
211,112,379,100,27,10
197,102,354,96,27,11
183,91,330,92,27,12
169,80,306,89,27,13
155,70,281,86,27,14
119,28,132,92,27,26
112,28,136,85,27,24
105,27,139,78,27,22
98,27,142,72,26,20
91,27,146,65,26,17
84,26,150,58,26,15
61,12,68,49,26,33
54,10,59,43,26,36
46,9,49,38,26,39
39,7,40,32,26,42
32,5,31,26,26,44
24,4,21,21,26,47
17,2,9,15,26,44
14,2,8,13,26,45
12,1,6,11,26,46
10,1,4,8,26,48
7,1,3,6,25,49
4,0,2,4,25,50
1,0,0,1,25,88
1,0,0,1,25,86
1,0,0,1,25,85
0,0,0,0,25,83
0,0,0,0,25,81
0,0,0,0,25,80
0,0,0,0,25,78
0,0,0,0,25,74
0,0,0,0,25,71
0,0,0,0,25,68
0,0,0,0,25,64
0,0,0,0,25,60
0,0,0,0,25,57
0,0,0,0,25,56
0,0,0,0,25,56
0,0,0,0,24,55
0,0,0,0,24,54
0,0,0,0,24,54
0,0,0,0,24,53
0,0,0,0,24,53
0,0,0,0,24,53
0,0,0,0,24,54
0,0,0,0,24,54
0,0,0,0,24,54
0,0,0,0,24,54
0,0,0,0,24,55
0,0,0,0,24,56
0,0,0,0,24,56
0,0,0,0,24,57
0,0,0,0,24,58
0,0,0,0,24,59
0,0,0,0,24,60
0,0,0,0,24,61
0,0,0,0,24,62
0,0,0,0,24,63
0,0,0,0,24,64
0,0,0,0,23,68
0,0,0,0,23,67
0,0,0,0,23,66
0,0,0,0,24,66
0,0,0,0,24,65
0,0,0,0,24,64
0,0,0,0,24,78
0,0,0,0,24,78
0,0,0,0,24,77
0,0,0,0,24,76
0,0,0,0,24,76
0,0,0,0,24,76
0,0,0,0,24,83
0,0,0,0,24,83
0,0,0,0,24,84
0,0,0,0,24,84
0,0,0,0,24,84
0,0,0,0,24,85
0,0,0,0,24,74
0,0,0,0,24,71
0,0,0,0,24,69
0,0,0,0,24,66
0,0,0,0,23,63
0,0,0,0,23,61
0,0,0,0,23,81
0,0,0,0,23,82
0,0,0,0,23,82
0,0,0,0,23,82
0,0,0,0,23,83
0,0,0,0,23,84
0,0,0,0,23,84
0,0,0,0,23,84
0,0,0,0,23,85
0,0,0,0,22,85
0,0,0,0,22,85
0,0,0,0,22,86
0,0,0,0,22,76
0,0,0,0,22,75
0,0,0,0,22,73
0,0,0,0,22,72
0,0,0,0,22,71
0,0,0,0,22,69
0,0,0,0,22,66
0,0,0,0,22,65
0,0,0,0,22,65
0,0,0,0,22,64
0,0,0,0,21,63
0,0,0,0,21,63
0,0,0,0,21,67
0,0,0,0,21,68
0,0,0,0,21,69
0,0,0,0,21,70
0,0,0,0,21,72
0,0,0,0,21,73
0,0,0,0,21,71
0,0,0,0,21,71
0,0,0,0,21,72
0,0,0,0,20,72
0,0,0,0,20,72
0,0,0,0,20,73
0,0,0,0,20,75
0,0,0,0,20,76
0,0,0,0,20,78
0,0,0,0,20,79
0,0,0,0,20,80
0,0,0,0,20,82
0,0,0,0,20,79
0,0,0,0,20,78
0,0,0,0,20,78
0,0,0,0,20,77
0,0,0,0,20,76
0,0,0,0,20,76
0,0,0,0,20,73
0,0,1,0,20,73
1,0,2,1,20,74
2,0,3,2,20,74
2,1,4,2,20,74
2,1,5,2,20,75
3,1,6,3,20,75
5,3,18,5,20,75
7,5,31,7,20,75
8,7,43,8,20,75
10,9,55,10,20,75
12,11,68,12,20,75
14,13,80,14,20,75
16,18,105,16,20,76
18,23,130,18,20,77
20,28,156,20,20,78
21,33,181,21,21,78
23,38,206,23,21,79
25,43,231,25,21,80
34,36,194,33,21,77
42,29,156,42,21,75
51,22,119,50,22,72
60,16,82,58,22,69
68,9,44,67,22,67
77,2,7,75,22,64
90,4,12,86,22,61
103,5,16,98,22,58
116,7,20,109,22,56
129,9,25,120,22,53
142,10,30,132,22,50
155,12,34,143,22,47
173,19,50,154,22,44
191,27,65,164,22,42
208,34,81,174,22,39
226,41,97,185,23,36
244,49,112,196,23,34
262,56,128,206,23,31
289,87,185,202,23,27
316,118,242,198,23,23
343,148,298,194,24,20
370,179,355,190,24,16
397,210,412,186,24,12
403,208,411,195,24,12
403,194,379,209,24,14
404,181,347,223,24,16
404,168,315,236,24,18
404,154,283,250,25,20
405,140,251,264,25,22
405,127,219,278,25,24
406,120,205,286,25,25
407,114,191,294,25,27
408,107,178,302,25,28
410,100,164,309,25,29
411,94,150,317,25,31
326,31,48,296,25,46
310,27,42,284,25,49
295,23,35,273,25,52
280,19,29,262,26,56
264,15,23,250,26,59
248,11,16,238,26,62
120,1,1,119,26,82
115,77,102,114,26,83
110,153,202,110,26,84
106,229,303,105,26,85
101,305,404,100,26,86
96,381,504,96,26,87
91,457,605,91,26,88
95,381,504,95,26,88
99,305,404,99,26,87
104,229,303,103,26,86
108,153,202,107,26,86
112,77,102,111,26,86
216,4,5,213,26,72
228,5,6,224,26,71
241,5,6,236,26,69
253,6,7,248,26,68
265,7,8,259,27,67
278,7,8,270,27,65
523,114,140,409,27,35
545,141,172,404,27,33
567,168,203,399,27,30
589,194,235,394,27,28
611,221,267,390,27,26
633,248,298,385,27,23
701,371,444,330,27,15
698,362,432,336,27,16
695,353,420,342,27,16
692,344,408,348,27,16
689,334,397,355,27,17
686,325,385,361,27,18
658,268,316,391,27,21
650,256,302,395,27,22
642,244,289,399,27,23
634,232,276,402,27,24
627,221,262,406,27,25
619,209,248,410,27,26
611,197,235,414,27,27
608,194,231,414,27,27
604,190,228,414,27,27
601,187,224,414,27,28
598,184,220,415,27,28
594,180,217,415,27,28
591,177,213,415,27,28
586,175,212,412,27,28
580,173,210,408,27,29
575,170,208,405,27,29
570,168,207,402,27,29
564,166,206,398,27,30
559,164,204,395,27,30
540,147,183,393,27,32
520,130,162,390,27,34
500,112,142,388,27,36
481,95,121,386,27,38
462,78,100,383,27,40
576,239,310,337,27,23
533,203,264,330,27,28
490,167,217,323,27,34
447,130,170,316,28,39
404,94,124,310,28,44
361,58,78,303,28,50
318,22,31,296,28,55
294,19,26,275,28,58
270,16,22,254,28,61
246,12,18,234,28,64
221,9,13,213,28,67
197,6,8,192,28,70
173,3,4,171,28,73
163,3,4,161,28,74
153,2,3,152,28,75
144,2,3,142,28,76
134,2,3,132,28,78
124,1,2,123,28,79
114,1,2,113,28,80
114,1,2,113,28,80
115,1,2,114,28,79
116,2,2,114,28,78
116,2,3,114,28,78
116,2,3,115,28,78
117,2,3,115,28,77
116,2,3,114,28,76
114,2,4,112,28,76
113,2,4,111,28,76
112,2,4,110,28,75
110,2,5,108,28,74
109,2,5,107,28,74
108,2,5,106,28,73
106,2,6,104,28,72
105,2,6,103,28,72
104,3,6,102,28,71
102,3,7,100,28,70
101,3,7,99,28,69
100,3,8,98,28,68
99,3,9,97,28,66
98,4,10,96,28,64
98,4,12,94,28,63
97,4,13,93,28,62
96,4,14,92,28,60
94,5,18,89,28,57
92,5,22,87,28,54
90,6,26,84,28,52
88,7,30,81,28,49
86,7,34,79,28,46
84,8,38,76,28,43
78,8,38,71,28,42
73,7,37,65,28,40
67,7,36,60,28,38
61,7,36,55,27,37
56,6,36,49,27,36
50,6,35,44,27,34
44,5,31,38,27,32
38,4,27,33,27,31
32,4,23,28,26,30
25,3,19,22,26,28
19,2,15,16,26,26
13,1,11,11,26,25
11,1,9,9,26,24
9,1,7,7,26,23
6,0,6,6,26,22
4,0,4,4,25,22
2,0,2,2,25,21
0,0,0,0,25,20
0,0,0,0,25,20
0,0,0,0,25,20
0,0,0,0,25,20
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,25,19
0,0,0,0,24,19
0,0,0,0,24,19
0,0,0,0,24,19
0,0,0,0,24,19
0,0,0,0,24,19
0,0,0,0,24,19
0,0,0,0,24,18
0,0,0,0,24,18
0,0,0,0,24,18
0,0,0,0,24,41
0,0,0,0,24,42
0,0,0,0,24,43
0,0,0,0,24,44
0,0,0,0,24,44
0,0,0,0,24,45
0,0,0,0,24,46
0,0,0,0,24,45
0,0,0,0,24,45
0,0,0,0,24,44
0,0,0,0,23,43
0,0,0,0,23,43
0,0,0,0,23,46
0,0,0,0,23,46
0,0,0,0,23,46
0,0,0,0,23,46
0,0,0,0,23,45
0,0,0,0,23,45
0,0,0,0,19,45
0,0,0,0,19,46
0,0,0,0,19,46
0,0,0,0,19,47
0,0,0,0,19,48
0,0,0,0,19,48
0,0,0,0,19,49
0,0,0,0,19,46
0,0,0,0,19,42
0,0,0,0,18,39
0,0,0,0,18,36
0,0,0,0,18,32
0,0,0,0,18,29
0,0,0,0,18,27
0,0,0,0,18,25
0,0,0,0,18,24
0,0,0,0,18,22
0,0,0,0,18,20
0,0,0,0,18,18
0,0,0,0,18,15
0,0,0,0,18,13
0,0,0,0,18,10
0,0,0,0,18,7
0,0,0,0,18,5
0,0,0,0,18,2
0,0,0,0,18,2
0,0,0,0,18,1
0,0,0,0,18,1
0,0,0,0,17,1
0,0,0,0,17,0
0,0,0,0,17,0
0,0,0,0,17,0
0,0,0,0,17,0
0,0,0,0,17,0
0,0,0,0,17,0
0,0,0,0,17,0
0,0,0,0,17,0
0,0,0,0,17,0
0,0,0,0,17,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,16,0
0,0,0,0,15,0
0,0,0,0,15,0
0,0,0,0,15,0
0,0,1,0,15,0
1,0,2,1,15,0
2,0,3,1,15,0
2,1,4,1,15,0
2,1,5,2,15,0
3,1,6,2,15,0
12,5,32,7,15,0
22,10,59,12,15,0
31,14,85,17,15,0
40,18,111,22,15,0
50,23,138,27,15,0
59,27,164,32,15,0
72,36,212,36,15,0
84,44,261,40,15,0
96,52,309,44,15,0
109,61,357,48,15,0
122,70,406,52,15,0
134,78,454,56,15,0
148,90,474,58,15,0
162,101,494,61,15,0
176,113,514,64,16,0
191,125,535,66,16,0
205,136,555,68,16,0
219,148,575,71,16,0
234,161,590,73,16,0
248,174,604,74,16,0
263,187,619,76,16,0
278,200,634,78,17,0
292,213,648,79,17,0
307,226,663,81,17,0
322,239,673,82,17,0
336,253,684,84,17,0
351,266,694,85,18,0
366,279,704,86,18,0
380,293,715,88,18,0
395,306,725,89,18,0
409,319,732,90,18,0
423,332,739,92,18,0
438,344,746,93,18,0
452,357,752,94,19,0
466,370,759,96,19,0
480,383,766,97,19,0
493,395,770,98,19,0
507,407,775,100,19,0
520,418,779,102,20,0
533,430,783,103,20,0
547,442,788,104,20,0
560,454,792,106,20,0
572,465,795,108,20,0
585,476,797,109,20,0
597,486,800,110,20,0
609,497,803,112,20,0
622,508,805,114,20,0
634,519,808,115,20,0
645,530,813,115,20,0
655,540,819,115,20,0
666,551,824,115,20,0
677,562,829,115,21,0
687,572,835,115,21,0
698,583,840,115,21,0
707,591,842,116,21,0
716,599,843,117,21,0
725,607,844,118,21,0
734,615,846,118,21,0
743,623,848,119,21,0
752,631,849,120,21,0
759,635,846,123,21,0
766,639,843,127,21,0
774,642,840,130,22,0
781,646,836,133,22,0
788,650,833,137,22,0
795,654,830,140,22,0
800,658,830,141,22,0
805,663,830,142,22,0
810,667,830,142,22,0
816,671,830,143,22,0
821,676,830,144,22,0
826,680,830,145,22,0
829,682,830,146,22,0
833,685,829,147,22,0
836,687,829,148,22,0
839,689,829,149,23,1
843,692,828,150,23,1
846,694,828,151,23,1
847,696,830,150,23,1
848,698,833,149,23,1
850,700,836,148,23,1
851,703,838,148,23,1
852,705,840,147,23,1
853,707,843,146,23,1
852,705,840,147,23,1
850,702,837,148,23,1
848,700,834,148,23,1
847,698,832,149,23,1
846,695,829,150,23,1
844,693,826,151,23,1
840,690,826,150,23,1
836,687,825,149,23,1
832,684,824,148,24,1
828,680,824,147,24,1
824,677,824,146,24,1
820,674,823,145,24,1
813,663,813,149,24,1
806,653,804,153,24,2
800,642,794,156,24,2
793,631,784,160,24,2
786,621,775,164,24,3
779,610,765,168,24,3
769,599,758,169,24,3
759,588,751,170,24,4
749,578,744,170,24,4
739,567,737,171,24,4
729,556,730,172,24,5
719,545,723,173,24,5
706,527,706,178,24,6
693,510,689,182,24,6
680,492,672,186,24,7
666,474,655,191,24,8
653,457,638,196,24,8
640,439,621,200,24,9
624,414,592,208,24,10
607,390,563,216,24,11
590,366,534,224,24,12
574,341,504,232,24,14
558,316,475,240,24,15
541,292,446,248,24,16
523,270,417,252,24,17
505,248,389,256,24,19
487,226,360,260,24,20
469,205,331,263,24,21
451,183,303,267,24,23
433,161,274,271,24,24
416,147,252,268,24,26
399,132,230,266,24,27
382,118,208,263,24,28
364,104,185,260,24,30
347,89,163,258,24,32
330,75,141,255,24,33
316,69,132,248,24,34
303,63,122,240,24,35
290,56,113,232,24,36
276,50,104,225,24,37
262,44,94,218,24,38
249,38,85,210,24,39
240,36,83,202,24,39
230,35,81,195,24,39
221,33,80,188,24,40
212,31,78,180,24,40
202,30,76,172,24,40
193,28,74,165,24,40
187,28,80,158,24,39
180,29,86,152,24,38
174,29,92,145,24,37
168,29,97,138,23,36
161,30,103,132,23,35
155,30,109,125,23,34
148,30,120,118,23,32
142,31,131,110,23,31
135,32,142,103,23,29
128,32,152,96,23,27
122,32,163,88,23,26
115,33,174,81,23,24
107,30,163,75,23,22
98,28,152,69,23,20
90,26,141,64,22,18
82,23,130,58,22,17
73,20,119,52,22,15
65,18,108,46,22,13
56,16,94,40,22,12
48,13,80,34,22,10
39,11,66,28,22,8
30,9,52,21,21,7
22,6,38,15,21,6
13,4,24,9,21,4
11,3,20,8,21,3
9,3,16,6,21,3
6,2,12,4,21,2
4,1,8,3,21,1
2,1,4,2,21,1
0,0,0,0,21,0
0,0,0,0,21,0
0,0,0,0,21,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,20,0
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,1
0,0,0,0,19,0
0,0,0,0,19,0
0,0,0,0,19,0
0,0,0,0,19,0
0,0,0,0,19,0
0,0,0,0,19,0
0,0,0,0,18,0
0,0,0,0,18,0
0,0,0,0,18,0
0,0,0,0,25,0
0,0,0,0,25,0
0,0,0,0,25,0
0,0,0,0,25,0
0,0,0,0,25,0
0,0,0,0,25,0
0,0,0,0,25,0
0,0,0,0,25,1
0,0,0,0,25,2
0,0,0,0,25,2
0,0,0,0,25,3
0,0,0,0,25,4
0,0,0,0,25,5
0,0,0,0,25,6
0,0,0,0,25,8
0,0,0,0,24,10
0,0,0,0,24,11
0,0,0,0,24,12
0,0,0,0,24,0
0,0,0,0,24,2
0,0,0,0,24,3
0,0,0,0,24,5
0,0,0,0,24,7
0,0,0,0,24,8
0,0,0,0,24,18
0,0,0,0,24,19
0,0,0,0,24,20
0,0,0,0,24,20
0,0,0,0,24,21
0,0,0,0,24,22
0,0,0,0,24,23
0,0,0,0,24,24
0,0,0,0,24,26
0,0,0,0,24,27
0,0,0,0,23,28
0,0,0,0,23,30
0,0,0,0,23,31
0,0,0,0,23,26
0,0,0,0,23,21
0,0,0,0,23,16
0,0,0,0,23,10
0,0,0,0,23,5
0,0,0,0,23,0
0,0,0,0,23,2
0,0,0,0,23,5
0,0,0,0,23,8
0,0,0,0,23,10
0,0,0,0,23,12
0,0,0,0,23,15
0,0,0,0,23,15
0,0,1,0,23,15
0,0,2,0,23,14
1,1,2,1,23,14
1,1,2,1,23,14
1,1,3,1,23,14
3,1,5,3,23,13
6,2,7,5,23,12
8,2,9,6,23,12
10,2,11,8,23,11
13,3,13,10,23,10
15,3,15,12,23,9
24,8,44,16,23,8
33,12,72,21,23,6
42,17,100,26,23,4
52,22,129,30,23,3
61,26,158,34,23,2
70,31,186,39,23,0
82,39,224,43,23,0
94,47,263,47,23,0
106,55,302,52,23,0
119,63,340,56,23,0
131,71,378,60,23,0
143,79,417,64,23,0
157,90,434,67,23,0
170,100,452,70,23,0
184,111,469,73,24,0
198,122,486,76,24,0
211,132,504,79,24,0
217,136,507,81,24,0
231,148,521,83,24,0
245,160,535,85,24,0
259,172,550,88,24,0
273,183,564,90,24,0
287,195,578,92,24,0
301,207,592,94,24,0
315,220,602,96,24,0
329,232,613,98,24,0
344,244,623,100,24,0
358,257,633,101,25,0
372,270,644,103,25,0
386,282,654,105,25,0
400,294,662,106,25,0
414,307,670,108,25,0
428,319,678,110,26,0
441,331,685,111,26,0
455,344,693,112,26,0
469,356,701,114,26,0
482,367,706,116,26,0
495,379,711,117,26,0
508,390,716,119,26,0
522,401,721,121,27,0
535,413,726,122,27,0
548,424,731,124,27,0
560,434,734,126,27,0
572,445,737,128,27,0
584,455,740,130,28,0
596,465,742,131,28,0
608,476,745,133,28,0
620,486,748,134,28,0
631,494,749,136,28,0
641,503,750,138,28,0
652,512,751,140,28,0
663,520,752,143,28,0
673,528,753,145,28,0
684,537,754,147,28,0
693,546,758,148,28,0
703,555,762,148,28,0
712,564,766,148,28,0
721,573,769,149,29,0
731,582,773,150,29,0
740,591,777,150,29,0
748,599,782,150,29,0
755,607,786,149,29,0
762,615,791,148,29,0
770,623,796,148,29,0
778,631,800,148,29,0
785,639,805,147,29,0
791,644,806,148,29,0
797,649,808,148,29,0
802,654,809,148,30,0
808,660,810,149,30,0
814,665,812,150,30,0
820,670,813,150,30,0
824,673,814,150,30,0
827,676,814,151,30,0
830,680,815,151,30,0
834,683,816,151,30,0
838,686,816,152,30,0
841,689,817,152,30,0
843,690,816,153,30,0
844,691,814,154,30,0
846,692,813,155,30,0
848,692,812,156,31,0
849,693,810,157,31,0
851,694,809,158,31,0
850,693,808,158,31,0
850,693,807,158,31,0
850,692,806,158,31,0
849,691,806,159,31,0
848,691,805,159,31,0
848,690,804,159,31,0
846,688,804,158,31,0
843,686,804,157,31,0
840,684,804,156,31,0
838,683,805,156,31,0
836,681,805,155,31,0
833,679,805,154,31,0
828,676,806,152,31,0
824,674,808,151,31,0
820,671,810,149,31,0
815,668,811,147,31,0
810,666,812,146,31,0
806,663,814,144,31,0
799,658,814,143,31,0
793,652,813,141,31,0
786,647,813,140,32,0
779,642,813,139,32,0
773,636,812,137,32,0
766,631,812,136,32,0
758,624,811,134,32,0
750,618,811,133,32,0
742,611,810,132,32,0
733,604,809,130,32,0
725,598,809,128,32,0
717,591,808,127,32,0
707,582,804,126,32,0
697,572,800,126,32,0
688,562,796,126,32,0
678,553,791,125,32,0
668,544,787,124,32,0
658,534,783,124,32,0
647,524,779,123,32,0
635,514,775,122,32,1
624,504,772,120,32,1
613,493,768,119,32,1
601,483,764,118,32,2
590,473,760,117,32,2
578,462,757,115,32,2
565,451,753,114,32,3
552,440,750,112,32,3
540,430,747,110,32,3
528,419,743,109,32,4
515,408,740,107,32,4
502,396,734,106,32,4
488,384,728,104,32,5
474,372,722,102,32,6
461,360,716,101,32,6
448,348,710,100,32,6
434,336,704,98,32,7
420,324,696,96,32,7
406,311,688,95,32,7
392,298,680,94,32,8
378,286,671,92,32,8
364,274,663,90,32,8
350,261,655,89,32,8
336,248,643,87,32,8
322,236,632,86,32,8
308,224,620,84,32,8
293,211,608,82,31,7
279,198,597,81,31,7
265,186,585,79,31,7
251,174,568,77,31,6
237,162,552,75,31,6
223,150,536,73,30,6
209,138,519,71,30,5
195,126,502,69,30,4
181,114,486,67,30,4
168,104,457,64,30,4
155,94,429,61,30,3
142,84,400,58,30,3
129,74,371,55,30,3
116,64,343,52,30,2
103,54,314,49,30,2
92,47,276,45,30,2
81,41,237,41,29,2
70,34,198,36,29,2
60,27,160,32,29,3
49,21,122,28,28,3
33,8,45,25,28,17
28,7,38,22,28,17
24,6,32,18,28,17
19,4,26,14,28,17
14,3,19,11,28,17
10,2,12,8,28,17
5,1,6,4,28,17
4,1,5,3,28,17
3,1,4,3,28,17
2,0,3,2,28,16
2,0,2,1,27,16
1,0,1,1,27,16
0,0,0,0,27,16
0,0,0,0,27,15
0,0,0,0,27,15
0,0,0,0,27,14
0,0,0,0,27,13
0,0,0,0,27,13
0,0,0,0,27,12
0,0,0,0,27,12
0,0,0,0,27,11
0,0,0,0,27,10
0,0,0,0,27,10
0,0,0,0,27,10
0,0,0,0,27,9
0,0,0,0,27,9
0,0,0,0,27,8
0,0,0,0,26,8
0,0,0,0,26,8
0,0,0,0,26,7
0,0,0,0,26,7
0,0,0,0,26,6
0,0,0,0,26,6
0,0,0,0,26,6
0,0,0,0,26,5
0,0,0,0,26,4
0,0,0,0,26,4
0,0,0,0,26,3
0,0,0,0,26,3
0,0,0,0,26,2
0,0,0,0,26,1
0,0,0,0,26,1
0,0,0,0,26,0
0,0,0,0,26,0
0,0,0,0,26,0
0,0,0,0,26,0
0,0,0,0,25,0
0,0,0,0,25,0
0,0,0,0,23,46
0,0,0,0,23,46
0,0,0,0,23,46
0,0,0,0,22,46
0,0,0,0,22,46
0,0,0,0,22,46
0,0,0,0,22,46
0,0,0,0,22,46
0,0,0,0,22,46
0,0,0,0,22,46
0,0,0,0,22,46
0,0,0,0,22,46
0,0,0,0,22,13
0,0,0,0,22,12
0,0,0,0,22,12
0,0,0,0,22,12
0,0,0,0,22,11
0,0,0,0,22,10
0,0,0,0,22,16
0,0,0,0,22,14
0,0,0,0,22,12
