ghi,ebh,dni,dhi,air_temp,cloud_opacity
821,675,818,146,28,0
0,0,0,0,22,0
380,278,658,102,19,1
493,76,94,416,27,38
750,618,811,133,32,0
813,621,732,193,27,3
0,0,0,0,20,78
2,1,5,2,20,75
1,1,2,1,23,14
158,5,10,154,24,62
0,0,0,0,18,0
494,76,93,418,27,38
395,292,670,103,19,1
384,26,32,358,28,52
9,3,16,6,21,3
407,114,191,294,25,27
369,273,647,96,27,7
94,20,108,73,22,26
170,62,240,109,19,16
4,0,0,4,23,53
415,301,649,114,22,0
0,0,0,0,21,19
0,0,0,0,19,0
0,0,0,0,25,19
0,0,0,0,15,0
1,0,0,1,15,3
0,0,0,0,20,0
0,0,0,0,24,0
19,3,18,16,21,28
753,503,604,250,27,9
424,313,666,112,25,0
633,248,298,385,27,23
481,56,67,425,22,43
462,78,100,383,27,40
12,2,9,10,26,36
731,597,800,134,29,0
0,0,0,0,20,16
796,647,804,149,28,0
0,0,0,0,23,36
312,222,605,90,27,8
0,0,0,0,19,0
0,0,0,0,25,20
402,30,38,372,28,50
737,604,804,133,28,0
615,427,620,188,28,8
0,0,0,0,18,0
806,662,813,144,29,0
58,20,118,38,23,2
799,648,802,150,26,0
759,613,789,146,29,1
19,2,15,16,26,26
104,36,186,68,21,12
6,0,6,6,26,22
0,0,0,0,15,3
0,0,0,0,22,0
780,534,630,246,27,8
821,671,814,150,26,0
0,0,0,0,16,2
451,351,710,101,28,6
0,0,0,0,22,64
0,0,0,0,23,15
0,0,0,0,20,49
0,0,0,0,25,19
751,623,826,128,23,0
619,209,248,410,27,26
625,513,798,113,27,0
485,362,690,123,18,2
86,7,34,79,28,46
286,144,374,143,20,10
71,24,134,46,23,6
0,0,0,0,19,48
182,55,187,126,22,24
16,1,8,14,22,39
197,102,354,96,27,11
2,0,3,1,15,0
0,0,0,0,24,54
0,0,0,0,23,68
27,1,6,26,22,76
248,11,16,238,26,62
0,0,0,0,24,76
546,131,162,415,23,33
1,0,0,1,23,44
565,422,684,143,29,4
782,644,816,138,28,0
277,10,13,267,28,61
347,189,431,158,24,14
694,576,819,119,27,0
539,408,689,132,28,4
0,0,0,0,14,4
0,0,0,0,24,21
289,87,185,202,23,27
2,0,0,2,26,30
0,0,0,0,24,74
40,21,122,20,26,2
0,0,0,0,23,10
0,0,0,0,24,21
0,0,0,0,20,0
21,3,18,18,26,35
634,496,747,138,25,0
687,572,835,115,21,0
262,44,94,218,24,38
246,12,18,234,28,64
4,1,2,4,20,39
352,214,482,139,28,8
634,270,332,364,27,20
182,93,372,89,23,11
0,0,0,0,25,0
0,0,0,0,20,52
0,0,0,0,18,0
332,242,626,90,29,8
0,0,0,0,22,0
489,343,613,147,28,6
395,220,448,175,24,14
209,138,519,71,30,5
430,242,459,188,24,14
531,378,647,153,25,4
200,102,371,97,24,8
669,509,711,160,28,4
658,268,316,391,27,21
0,0,0,0,18,0
63,13,75,50,21,22
0,0,0,0,20,20
614,484,755,130,23,0
816,662,804,152,27,0
86,36,212,49,15,4
806,658,808,148,26,0
3,0,0,3,22,43
0,0,0,0,16,1
48,21,123,27,21,4
680,492,672,186,24,7
805,663,830,142,22,0
96,52,309,44,15,0
495,386,737,109,19,0
5,1,5,4,21,28
516,91,110,425,23,38
0,0,0,0,20,0
2,1,4,2,21,1
326,45,77,282,25,39
578,408,630,170,28,7
78,36,204,42,21,6
779,610,765,168,24,3
443,311,620,131,24,1
606,452,684,154,27,4
6,1,6,5,21,28
0,0,0,0,19,1
592,439,696,152,19,4
94,40,208,55,23,6
664,428,573,236,23,11
261,24,44,238,28,48
137,6,16,131,27,59
8,2,8,6,26,17
0,0,0,0,16,1
371,204,440,166,24,14
525,381,652,144,29,4
145,1,1,144,28,80
0,0,0,0,27,15
0,0,0,0,24,22
0,0,0,0,23,84
0,0,0,0,25,52
0,0,0,0,21,67
559,164,204,395,27,30
235,24,51,211,27,46
594,244,304,351,28,24
0,0,0,0,17,0
653,457,638,196,24,8
0,0,0,0,24,6
0,0,0,0,17,0
70,25,145,46,27,9
0,0,0,0,24,24
246,24,48,222,28,46
316,69,132,248,24,34
170,48,175,121,22,24
84,26,136,58,26,21
276,50,104,225,24,37
22,2,12,20,22,38
498,354,632,145,29,5
0,0,0,0,24,41
0,0,0,0,23,45
334,233,606,102,16,2
0,0,0,0,25,4
122,3,7,120,24,66
0,0,0,0,25,52
245,160,535,85,24,0
2,0,2,1,27,16
389,184,366,204,23,17
585,476,797,109,20,0
848,698,833,149,23,1
540,167,210,373,27,30
453,235,415,219,23,16
0,0,0,0,18,39
2,0,1,2,20,58
788,650,833,137,22,0
0,0,0,0,20,0
0,0,0,0,26,8
32,4,23,28,26,30
33,5,29,28,21,28
42,14,78,30,26,8
149,70,296,79,21,6
0,0,0,0,24,0
0,0,0,0,24,84
486,276,469,210,23,14
280,170,498,110,23,5
664,316,385,348,27,17
184,126,540,58,27,6
814,665,812,150,30,0
0,0,0,0,23,0
0,0,0,0,24,40
0,0,0,0,24,0
645,411,562,234,23,11
769,599,758,169,24,3
0,0,0,0,25,36
0,0,0,0,16,2
384,283,640,102,29,5
0,0,0,0,20,41
116,7,20,109,22,56
774,562,691,212,21,7
0,0,0,0,27,9
60,16,82,58,22,69
350,261,655,89,32,8
0,0,0,0,18,29
0,0,0,0,21,63
1,0,2,1,15,0
0,0,0,0,23,61
495,379,711,117,26,0
0,0,0,0,16,1
14,13,80,14,20,75
0,0,0,0,24,62
533,162,217,371,26,26
0,0,0,0,20,20
1,1,2,1,25,0
737,502,624,236,22,10
257,97,260,159,22,21
24,8,44,16,23,8
439,335,704,105,19,0
483,60,72,423,27,42
615,272,339,343,28,22
0,0,0,0,19,1
0,0,0,0,16,1
0,0,0,0,25,19
572,465,795,108,20,0
571,343,520,228,26,10
624,504,772,120,32,1
372,263,618,110,22,0
731,496,622,235,23,10
741,480,578,261,27,10
0,0,0,0,25,21
2,1,4,1,15,0
566,271,387,296,21,18
25,4,20,22,20,34
187,101,409,86,17,5
0,0,0,0,23,39
0,0,0,0,27,12
0,0,0,0,24,21
242,14,24,228,28,58
0,0,0,0,18,0
309,129,303,179,22,19
0,0,0,0,25,22
0,0,0,0,25,41
9,3,17,6,25,1
740,589,775,151,27,23
312,166,417,145,24,14
200,110,427,90,17,5
0,0,0,0,25,39
676,560,816,116,27,0
106,55,302,52,23,0
0,0,0,0,22,46
579,217,285,361,23,24
120,1,1,119,26,82
848,690,804,159,31,0
0,0,0,0,20,76
0,0,0,0,18,0
65,1,3,64,22,76
136,68,358,68,15,3
0,0,0,0,16,1
0,0,0,0,22,0
306,208,583,98,16,2
0,0,0,0,15,2
0,0,0,0,20,19
0,0,0,0,22,0
0,0,0,0,16,0
0,0,0,0,24,8
113,2,4,111,28,76
0,0,0,0,22,85
795,656,816,141,28,0
0,0,0,0,25,2
24,3,16,21,20,32
744,603,800,140,24,0
545,141,172,404,27,33
560,434,734,126,27,0
155,70,281,86,27,14
343,148,298,194,24,20
0,0,0,0,21,60
169,80,306,89,27,13
0,0,0,0,23,44
42,1,2,42,22,78
2,0,2,2,25,21
0,0,0,0,16,2
540,297,452,243,23,15
488,384,728,104,32,5
48,13,80,34,22,10
697,560,784,137,25,0
0,0,0,0,24,56
136,7,20,129,27,57
681,444,584,236,23,11
0,0,0,0,16,0
0,0,0,0,24,7
0,0,0,0,22,9
0,0,0,0,25,80
19,4,26,14,28,17
0,0,0,0,24,40
824,674,808,151,31,0
0,0,0,0,19,0
127,58,305,68,24,5
0,0,0,0,23,82
558,365,581,193,26,7
454,44,52,411,22,46
0,0,0,0,19,0
0,0,0,0,18,0
836,686,817,150,29,0
59,32,188,27,26,2
0,0,0,0,20,78
786,571,688,215,21,7
12,1,6,11,26,46
0,0,0,0,25,36
174,85,333,90,27,12
0,0,0,0,24,30
0,0,0,0,25,0
595,362,524,232,23,12
0,0,0,0,18,0
610,431,633,179,28,7
143,74,348,70,23,3
0,0,0,0,21,0
0,0,0,0,24,28
107,30,163,75,23,22
148,2,2,146,28,78
0,0,0,0,24,21
725,598,809,128,32,0
199,18,40,181,27,50
0,0,0,0,17,0
776,564,691,212,21,7
304,216,600,87,28,8
0,0,0,0,23,34
0,0,0,0,22,10
218,112,388,104,23,12
739,552,716,187,21,6
34,36,194,33,21,77
82,39,224,43,23,0
0,0,0,0,15,3
61,21,129,39,15,4
598,244,305,354,27,23
0,0,0,0,18,0
0,0,0,0,22,51
0,0,0,0,24,38
678,553,791,125,32,0
557,293,430,264,23,16
213,8,13,206,25,60
170,114,519,56,27,6
852,705,840,147,23,1
0,0,0,0,26,0
244,49,112,196,23,34
354,260,636,94,27,8
0,0,0,0,25,0
1,0,0,1,18,22
173,11,23,161,27,58
720,588,797,132,28,0
0,0,0,0,24,69
112,2,6,109,23,66
796,574,677,222,28,6
403,25,31,377,21,51
0,0,0,0,25,37
532,169,232,362,21,27
442,318,630,125,29,4
99,4,13,96,27,62
0,0,0,0,23,34
0,0,0,0,25,19
725,607,844,118,21,0
699,580,820,119,23,0
0,0,0,0,22,0
848,698,821,151,29,0
112,54,289,58,22,8
490,372,702,118,22,0
218,131,478,88,15,3
318,22,31,296,28,55
0,0,0,0,24,3
0,0,0,0,24,38
0,0,0,0,24,0
91,457,605,91,26,88
0,0,0,0,16,0
0,0,0,0,23,0
386,282,654,105,25,0
110,2,5,108,28,74
298,202,576,97,24,0
0,0,0,0,19,14
0,0,0,0,19,0
0,0,0,0,21,0
41,14,83,27,23,1
0,0,0,0,22,7
81,33,180,48,23,3
0,0,0,0,25,5
609,497,803,112,20,0
552,408,674,143,29,4
387,276,631,111,22,0
645,507,754,137,25,0
0,0,0,0,24,36
533,203,264,330,27,28
729,584,781,146,28,0
652,512,751,140,28,0
0,0,0,0,20,0
573,215,270,358,28,26
502,362,653,139,25,2
694,556,780,138,24,0
0,0,0,0,16,1
0,0,0,0,16,0
0,0,0,0,16,0
74,29,173,45,15,5
0,0,0,0,23,44
0,0,0,0,23,44
555,450,775,106,27,2
0,0,0,0,23,46
116,64,343,52,30,2
830,678,812,152,28,0
39,8,47,31,24,22
403,208,411,195,24,12
50,27,155,24,26,2
0,0,0,0,22,46
301,207,592,94,24,0
579,334,496,245,21,13
0,0,0,0,23,12
0,0,0,0,22,0
17,2,9,15,26,44
0,0,0,0,15,3
0,0,0,0,21,40
0,0,0,0,21,0
0,0,0,0,23,35
582,173,208,410,27,29
335,146,324,188,22,19
420,324,696,96,32,7
570,176,223,394,23,28
567,400,629,167,28,7
499,73,89,425,22,40
484,351,647,133,24,4
0,0,0,0,25,0
1,1,3,1,23,14
25,5,28,20,26,18
146,1,2,145,28,79
0,0,0,0,27,13
0,0,0,0,21,55
241,125,394,116,24,13
278,150,414,128,28,10
0,0,0,0,22,58
0,0,0,0,24,54
0,0,0,0,18,0
0,0,0,0,17,0
0,0,0,0,21,59
372,234,519,138,21,5
279,198,597,81,31,7
0,0,0,0,23,67
78,14,75,64,24,30
0,0,0,0,25,13
792,640,797,153,27,29
0,0,0,0,17,0
0,0,0,0,20,37
782,555,666,227,22,8
0,0,0,0,22,72
459,309,578,151,28,7
253,131,397,121,24,13
132,46,218,86,21,16
0,0,0,0,22,42
801,665,831,136,23,0
358,234,552,124,24,2
809,660,808,149,26,0
656,541,808,115,27,0
0,0,0,0,27,9
0,0,0,0,25,13
0,0,0,0,21,0
520,391,690,128,24,4
208,34,81,174,22,39
634,519,808,115,20,0
0,0,0,0,25,19
0,0,0,0,24,12
577,272,378,304,23,19
0,0,0,0,24,16
563,292,423,270,23,16
850,702,837,148,23,1
0,0,0,0,20,18
0,0,0,0,21,0
0,0,0,0,20,14
576,413,642,162,27,6
249,141,440,108,23,7
0,0,0,0,20,78
762,612,788,150,27,25
0,0,0,0,23,35
355,251,620,104,25,0
65,12,68,53,21,27
31,14,85,17,15,0
234,161,590,73,16,0
0,0,0,0,16,1
618,482,743,136,27,0
599,423,632,176,28,7
845,690,811,156,29,0
265,7,8,259,27,67
56,10,54,46,21,28
0,0,0,0,27,13
0,0,0,0,21,0
576,183,218,393,27,31
0,0,0,0,24,0
768,510,604,258,27,9
0,0,0,0,24,19
90,4,12,86,22,61
540,430,747,110,32,3
39,11,66,28,22,8
0,0,0,0,24,56
456,332,642,125,29,4
0,0,0,0,25,57
0,0,0,0,24,17
121,55,320,66,16,5
13,2,12,11,21,28
0,0,0,0,16,0
427,41,48,387,27,49
0,0,0,0,17,0
0,0,0,0,20,64
406,311,688,95,32,7
22,2,13,22,22,76
547,442,788,104,20,0
817,668,816,149,25,0
0,0,0,0,23,0
39,16,97,22,20,4
0,0,0,0,24,27
484,364,690,120,23,0
0,0,0,0,22,16
0,0,0,0,23,59
0,0,0,0,20,82
105,27,139,78,27,22
264,141,406,123,28,10
781,555,667,225,22,8
0,0,0,0,25,0
42,29,156,42,21,75
0,0,0,0,18,2
0,0,0,0,21,24
0,0,0,0,22,46
0,0,0,0,21,26
820,684,840,136,23,0
0,0,0,0,21,23
108,153,202,107,26,86
701,371,444,330,27,15
105,28,166,77,21,18
0,0,0,0,15,3
108,14,66,94,25,39
25,43,231,25,21,80
346,254,638,92,29,8
418,87,125,331,27,37
44,5,31,38,27,32
569,440,728,129,26,0
568,352,542,215,26,9
525,99,121,425,23,36
0,0,0,0,20,72
538,395,663,144,29,4
374,247,563,127,24,2
767,620,798,147,25,0
1,0,1,1,21,26
836,687,829,148,22,0
318,214,575,104,18,3
349,246,618,103,17,2
761,614,793,147,28,0
0,0,0,0,21,23
0,0,0,0,24,4
50,6,35,44,27,34
0,0,0,0,21,72
719,545,723,173,24,5
0,0,0,0,17,0
821,653,779,168,27,23
0,0,0,0,23,20
198,122,486,76,24,0
745,605,795,140,29,1
0,0,0,0,17,0
676,323,386,353,27,19
431,307,627,124,22,1
0,0,0,0,25,28
15,5,30,10,22,0
2,1,4,1,22,0
0,0,0,0,27,15
0,0,0,0,25,15
42,17,100,26,23,4
33,2,19,30,22,35
0,0,0,0,25,16
799,658,814,143,31,0
482,375,732,107,19,0
117,54,283,64,23,4
712,590,820,122,26,0
255,6,7,249,28,66
790,641,803,148,28,0
0,0,0,0,16,1
0,0,0,0,24,20
454,54,69,400,21,42
778,636,807,142,26,0
742,611,810,132,32,0
676,536,764,140,24,0
787,568,677,219,27,6
11,1,9,9,26,24
740,591,777,150,29,0
737,610,821,127,26,0
0,0,0,0,22,38
0,0,0,0,16,0
59,27,164,32,15,0
111,58,305,54,27,2
0,0,0,0,25,0
641,503,750,138,28,0
212,31,78,180,24,40
0,0,0,0,23,0
270,16,22,254,28,61
240,171,603,69,27,7
0,0,0,0,22,0
790,572,680,218,27,6
251,24,47,227,28,47
824,660,787,164,28,1
67,13,77,53,18,24
0,0,0,0,17,0
0,0,0,0,24,25
0,0,0,0,16,0
808,610,721,198,27,4
0,0,0,0,23,0
843,692,828,150,23,1
106,3,10,103,27,64
766,536,650,230,22,8
13,1,11,11,26,25
401,289,640,112,22,0
567,421,696,146,20,3
0,0,0,0,21,19
591,177,213,415,27,28
0,0,0,0,21,56
849,696,816,154,29,0
0,0,0,0,20,33
0,0,0,0,16,1
295,23,35,273,25,52
452,357,752,94,19,0
582,246,332,334,23,21
104,229,303,103,26,86
0,0,0,0,20,0
92,30,156,62,21,15
749,578,744,170,24,4
598,184,220,415,27,28
124,67,334,57,27,3
0,0,0,0,19,0
298,212,605,86,27,8
33,12,72,21,23,6
202,98,352,105,22,10
504,283,463,221,23,14
0,0,0,0,26,3
0,0,0,0,18,0
0,0,0,0,19,0
824,673,814,151,26,0
339,203,473,136,28,8
411,301,658,110,25,0
580,173,210,408,27,29
388,260,574,128,24,2
1,0,0,1,20,42
104,15,72,89,25,37
0,0,0,0,20,1
0,0,0,0,15,3
771,560,692,211,21,7
0,0,0,0,15,2
136,36,148,100,22,25
558,316,475,240,24,15
8,7,43,8,20,75
281,20,33,261,28,52
847,696,830,150,23,1
0,0,0,0,16,1
0,0,0,0,22,9
787,643,807,144,26,0
456,70,91,386,26,38
410,306,681,103,19,1
621,455,672,167,29,6
0,0,0,0,17,0
117,73,392,45,27,4
727,544,716,183,20,6
804,650,799,154,27,31
0,0,0,0,24,0
361,58,78,303,28,50
574,428,682,147,29,4
51,16,99,34,15,5
695,353,420,342,27,16
358,257,633,101,25,0
736,597,801,139,24,0
0,0,0,0,21,64
810,666,812,146,31,0
1,0,0,1,18,32
838,686,816,152,30,0
0,0,0,0,21,0
0,0,0,0,23,82
786,554,662,230,22,8
0,0,0,0,18,0
1,0,0,1,15,3
0,0,0,0,24,39
657,322,399,335,27,17
574,341,504,232,24,14
0,0,0,0,24,21
0,0,0,0,22,56
667,526,757,141,24,0
0,0,0,0,23,58
311,196,520,116,23,4
516,414,753,104,28,4
0,0,0,0,21,65
225,123,403,103,27,9
0,0,0,0,17,0
696,461,598,236,23,10
0,0,0,0,21,62
721,573,769,149,29,0
810,667,830,142,22,0
0,0,0,0,27,10
798,590,699,208,27,4
443,327,666,116,23,0
168,104,457,64,30,4
0,0,0,0,21,0
0,0,0,0,20,43
490,65,78,425,22,42
400,294,662,106,25,0
0,0,0,0,16,0
500,112,142,388,27,36
0,0,0,0,19,0
90,6,26,84,28,52
219,75,224,143,22,22
70,31,186,39,23,0
786,621,775,164,24,3
815,629,744,187,27,8
194,6,12,188,24,62
0,0,0,0,24,20
407,227,453,179,24,14
0,0,0,0,15,0
164,80,338,82,24,6
0,0,0,0,25,20
0,0,0,0,24,42
765,634,826,131,23,0
0,0,0,0,22,61
758,628,826,129,23,0
248,17,31,231,28,55
819,645,768,174,27,18
226,41,97,185,23,36
0,0,0,0,15,0
720,596,820,124,26,0
0,0,0,0,22,46
766,526,629,240,27,8
272,170,515,102,18,4
0,0,0,0,23,84
0,0,0,0,22,23
419,307,664,112,18,2
0,0,0,0,21,63
677,562,829,115,21,0
0,0,0,0,23,28
0,0,0,0,25,22
850,693,807,158,31,0
175,6,10,169,24,63
0,0,0,0,21,0
0,0,0,0,22,85
828,676,806,152,31,0
0,0,0,0,22,46
0,0,0,0,21,63
0,0,0,0,20,55
0,0,0,0,24,20
0,0,0,0,23,0
0,0,0,0,25,19
416,286,597,130,24,2
545,374,602,171,27,7
4,0,2,4,25,50
0,0,0,0,18,0
0,0,0,0,17,1
343,221,541,121,24,3
261,12,19,250,28,58
39,7,40,32,26,42
323,174,422,149,24,14
0,0,0,0,25,52
850,693,810,157,29,0
755,607,786,149,29,0
636,301,373,335,28,20
0,0,0,0,23,0
271,174,521,98,22,0
523,391,697,132,19,3
296,46,84,250,27,41
0,0,0,0,18,0
148,8,17,140,27,61
692,546,753,146,29,2
173,19,50,154,22,44
703,566,787,137,24,0
838,699,844,139,22,0
22,6,38,15,21,6
98,28,152,69,23,20
405,127,219,278,25,24
0,0,0,0,23,0
0,0,0,0,16,0
840,684,804,156,31,0
574,333,498,240,26,11
0,0,0,0,22,0
0,0,0,0,14,4
793,631,784,160,24,2
797,649,808,148,29,0
0,0,0,0,16,2
259,35,65,224,27,46
726,491,619,234,23,10
172,96,404,76,23,2
0,0,0,0,18,0
0,0,0,0,22,11
769,634,814,135,28,0
101,3,7,99,28,69
706,557,759,150,27,19
0,0,0,0,20,0
50,23,138,27,15,0
781,630,794,151,27,28
840,686,811,154,28,0
186,108,433,78,23,1
197,6,8,192,28,70
658,545,815,112,24,0
68,38,221,31,26,2
0,0,0,0,24,46
689,453,591,236,23,11
0,0,0,0,24,21
402,24,30,376,21,51
0,0,0,0,21,29
0,0,0,0,24,21
109,2,5,107,28,74
688,552,781,136,25,0
428,31,37,397,21,49
851,694,809,158,31,0
0,0,0,0,18,0
732,582,770,151,27,22
225,93,289,133,20,14
0,0,0,0,24,65
306,169,428,137,28,9
0,0,0,0,24,39
853,707,843,146,23,1
823,661,791,162,27,28
0,0,0,0,25,49
400,299,657,102,29,6
0,0,0,0,21,0
485,140,200,346,26,27
0,0,0,0,23,23
754,620,811,134,28,0
45,1,2,45,22,78
241,5,6,236,26,69
848,699,824,149,29,0
674,518,723,156,29,4
369,264,631,105,25,0
0,0,0,0,21,22
786,635,796,152,27,28
697,548,756,150,26,18
25,3,19,22,26,28
581,432,696,149,19,4
0,0,0,0,21,62
0,0,0,0,19,0
0,0,0,0,23,38
270,178,547,92,24,0
3,0,0,3,26,37
0,0,0,0,17,0
170,100,452,70,23,0
0,0,0,0,15,1
505,152,212,354,26,26
17,2,12,16,20,35
721,586,802,135,24,0
0,0,1,0,20,73
0,0,0,0,24,0
778,645,827,133,23,0
483,61,73,422,27,41
362,166,345,196,22,18
515,408,740,107,32,4
807,657,808,150,28,0
0,0,0,0,23,2
0,0,0,0,18,0
544,372,614,173,26,6
14,2,8,13,26,45
0,0,0,0,21,49
11,1,2,10,23,52
0,0,0,0,25,14
30,11,67,18,23,0
0,0,0,0,23,35
90,26,141,64,22,18
791,644,806,148,29,0
706,569,787,137,25,0
